5'_PARTNER_GENE 3'_PARTNER_GENE
ACSL3 ETV1
ACTB GLI1
AFF3 BCL2
AGTRAP BRAF
AHRR NCOA2
AHRR NCOA2
AHRR NCOA2
AHRR NCOA2
AKAP9 BRAF
ALK PTPN3
ANKRD28 NUP98
ARHGAP6 PRCC
ASPSCR1 TFE3
ASPSCR1 TFE3
ASPSCR1 TFE3
ASPSCR1 TFE3
ASPSCR1 TFE3
ASPSCR1 TFE3
ATIC ALK
ATIC ALK
ATIC ALK
BACH2 BCL2L1
BACH2 BCL2L1
BCL11B TCR
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Ig
BCL2 Immunoglobulin
BCL2 Immunoglobulin
BCL2 Immunoglobulin
BCL9 Immunoglobulin
BCOR RARA
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR ABL1
BCR FGFR1
BCR FGFR1
BCR JAK2
BCR JAK2
BCR PDGFRA
BCR PDGFRA
BCR PDGFRA
BIRC3 MALT1
BIRC3 MALT1
BIRC3 MALT1
BRD3 C15orf55
BRWD3 ARHGAP20
BRWD3 ARHGAP20
C11orf95 MKL2
C15orf21 ETV1
C15orf55 BRD4
C6orf204 PDGFRB
CACNA2D4 WDR43
CANT1 ETV4
CAPRIN1 PDGFRB
CARS ALK
CARS ALK
CARS ALK
CBFB MYH11
CBFB MYH11
CBFB MYH11
CBFB MYH11
CBFB MYH11
CBFB MYH11
CBFB MYH11
CCDC6 PDGFRB
CCDC6 PDGFRB
CCDC6 PDGFRB
CCDC6 RET
CCDC6 RET
CCDC88C PDGFRB
CCDC88C PDGFRB
CCND1 FSTL3
CD44 SLC1A2
CD74 ROS1
CDH11 USP6
CDH11 USP6
CDH11 USP6
CDK5RAP2 PDGFRA
CDK6 MLL
CEP110 FGFR1
CEP110 FGFR1
CEP110 FGFR1
CEP110 FGFR1
CHCHD7 PLAG1
CHIC2 ETV6
CHIC2 ETV6
CHIC2 ETV6
CIC DUX4
CLTC ALK
CLTC ALK
CLTC ALK
CLTC ALK
CLTC ALK
CLTC ALK
CLTC ALK
CLTC TFE3
CNBP USP6
CNBP USP6
CNTRL KIT
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 PDGFB
COL1A1 USP6
COL1A1 USP6
COL1A2 PLAG1
COL6A3 CSF1
COL6A3 CSF1
COL6A3 CSF1
COL6A3 CSF1
CREB3L2 PPARG
CRTC1 MAML2
CRTC1 MAML2
CRTC1 MAML2
CRTC1 MAML2
CRTC1 MAML2
CRTC1 MAML2
CRTC1 MAML2
CRTC3 MAML2
DGKB MIPOL1
EML1 ABL1
EML4 ALK
EML4 ALK
EML4 ALK
EML4 ALK
EML4 ALK
EML4 ALK
EML4 ALK
EML4 ALK
EML4 ALK
EML4 ALK
EML4 ALK
EPC1 PHF1
ERC1 PDGFRB
ERC1 PDGFRB
ESRP1 RAF1
ETV6 ABL1
ETV6 ABL1
ETV6 ABL1
ETV6 ABL2
ETV6 ACSL6
ETV6 ACSL6
ETV6 ACSL6
ETV6 ACSL6
ETV6 ACSL6
