Gene pairs|common Interactors|#PPI for first_partner_gene|#PPI for second_partner_gene|domain of first_partner_gene|domain of second_partner_gene|domain of fusions
ACSL3 ETV1|{'ERBB2', 'JUN'}|63|105|AMP-binding_conserved_site, AMP-dependent_synthetase/ligase|Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding|AMP-binding enzyme, PEA3 subfamily ETS-domain transcription factor N terminal domain and Ets-domain
AGTRAP BRAF|{'AGTR1', 'ARAF', 'UBE2I'}|80|548|Angiotensin_II_type_I_receptor-associated|Diacylglycerol/phorbol-ester_binding, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_C-like_phorbol_ester/diacylglycerol_binding, Protein_kinase_catalytic_domain, Raf-like_Ras-binding, Serine-threonine/tyrosine-protein_kinase, Serine/threonine-protein_kinase_active_site|Angiotensin II, type I receptor-associated protein (AGTRAP) and Protein tyrosine kinase
AKAP9 BRAF|{'RASSF2', 'CCDC88A', 'KIF5B', 'YWHAZ', 'AKAP13', 'PKN2', 'RUVBL2', 'NOLC1', 'PRKACA', 'TNIK', 'MAP3K7', 'TRAF2', 'YWHAQ', 'AURKA', 'GSK3A', 'CDC25B', 'PKN1', 'PLK1', 'CENPJ', 'TUBB', 'RHOQ', 'RANBP9', 'CANX', 'AURKB', 'YWHAG', 'PCNT', 'DISC1', 'LATS1', 'CALM1', 'CDC5L', 'PRKAR2A', 'CFL1', 'GSK3B', 'LIMK1', 'PLK2', 'CSNK1D', 'NEK2', 'TTK'}|252|548|Pericentrin/AKAP-450_centrosomal_targeting_domain|Diacylglycerol/phorbol-ester_binding, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_C-like_phorbol_ester/diacylglycerol_binding, Protein_kinase_catalytic_domain, Raf-like_Ras-binding, Serine-threonine/tyrosine-protein_kinase, Serine/threonine-protein_kinase_active_site|CMT1A duplicated region transcript 4 protein, Influenza C hemagglutinin stalk, Domain of unknown function (DUF4407), Seryl-tRNA synthetase N-terminal domain, CP12 domain, Cell division cycle-associated protein 8, Tat binding protein 1(TBP-1)-interacting protein (TBPIP), Targeting protein for Xklp2 (TPX2), Basic region leucine zipper, Golgin subfamily A member 5, cGMP-dependent protein kinase interacting domain, Protein of unknown function (DUF724), Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit, Clathrin-binding domain of Huntingtin-interacting protein 1, Fibrinogen alpha/beta chain family, FAM76 protein, Flagella accessory protein C (FlaC), Lipoprotein leucine-zipper, Uso1 / p115 like vesicle tethering protein, C terminal region, Apolipoprotein O, Protein of unknown function (DUF745), Uncharacterised protein family UPF0449, FlxA-like protein, Protein of unknown function (DUF1664), Reovirus sigma C capsid protein, Transmembrane protein, Interactor of ZYG-11, Vacuolar sorting 38 and autophagy-related subunit 14, Septum formation initiator and Protein tyrosine kinase.
ASPSCR1 TFE3|{'TFE3', 'ASPSCR1', 'TCF4', 'VCP', 'PRCC'}|93|10|GLUT4_regulating_protein_TUG, UBX|Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, Protein_of_unknown_function_DUF3371|MITF/TFEB/TFEC/TFE3 N-terminus, Helix-loop-helix DNA-binding domain amd Domain of unknown function (DUF3371).
BCOR RARA|{'PPARD', 'BCL6', 'HDAC3', 'SIN3A', 'TAL1', 'RXRA', 'NCOR1', 'SIRT1', 'NCOR2', 'BCOR', 'HDAC1', 'GABPA', 'PDGFRA', 'JUN', 'CDK6', 'HDAC9', 'CTBP1', 'SMARCA4', 'TGFBR2', 'ESR1', 'SPI1', 'MYC', 'HNF4A', 'USP7', 'AR', 'SP1', 'FOXC1', 'HDAC4', 'MYOG', 'TP53', 'PML', 'EZH2', 'HDAC5', 'EP300', 'TCF3', 'NFKB1', 'RBPJ', 'ESR2', 'RARA', 'CDKN1A', 'ELOC', 'NSD1', 'ZBTB7A', 'IRF4', 'HDAC2', 'ZBTB16', 'EED'}|240|419|nkyrin_repeat, Ankyrin_repeat-containing_domain|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Retinoic_acid_receptor, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|Ankyrin repeats (many copies), BCL-6 co-repressor, non-ankyrin-repeat region, Ankyrin repeats (3 copies), Zinc finger, C4 type (two domains) and Ligand-binding domain of nuclear hormone receptor.
BCR ABL1|{'SPTAN1', 'MET', 'MUC1', 'GRB2', 'GRB10', 'EPHB1', 'CSF2RB', 'TGFBR1', 'YWHAE', 'ERBB2', 'CLK2', 'JAK3', 'LCK', 'RAPGEF1', 'MAP4K5', 'NEDD9', 'CTTN', 'YES1', 'SYK', 'SHC3', 'ARHGEF2', 'PTPN18', 'PLD2', 'MPZL1', 'KRT18', 'CDK1', 'CD19', 'MPRIP', 'EPHB2', 'UBC', 'DLG1', 'SLC9A3R1', 'TEC', 'HSP90AA1', 'HSP90AB1', 'MAP2K1', 'GRK5', 'MAP3K5', 'RASA1', 'PLEKHG2', 'BCAR1', 'EPOR', 'PIK3C2B', 'STAT3', 'USP8', 'ARHGAP32', 'CSNK1A1', 'CRKL', 'ARHGAP35', 'ARHGEF16', 'IRS1', 'REPS1', 'RET', 'YWHAB', 'SOS2', 'SHC1', 'GRK2', 'TYK2', 'DLGAP4', 'DAXX', 'TP53', 'MAP3K3', 'STK25', 'NTRK2', 'SOCS1', 'NGEF', 'NTRK3', 'PRLR', 'AP2B1', 'LTK', 'GAB1', 'PTPN2', 'PTPN11', 'H2AFX', 'BLK', 'MED28', 'ARHGEF9', 'CBLB', 'DNM2', 'ERBB3', 'STON2', 'MAPKAPK2', 'UBASH3B', 'HRAS', 'BAD', 'ITGB1', 'TEK', 'FES', 'PRRC2A', 'ABL2', 'FGD1', 'MAP4K1', 'TGFB1I1', 'PIK3CG', 'CDK16', 'RACGAP1', 'ABR', 'CDK7', 'ZAP70', 'CFL1', 'PTPRA', 'PTPN1', 'TSC2', 'DOK1', 'TRIO', 'AKT1', 'EPS8', 'BMP2K', 'BLNK', 'FLNC', 'MAPT', 'AFDN', 'RIN1', 'ARHGAP5', 'GHR', 'ASAP2', 'FRS2', 'RACK1', 'SFN', 'VAV3', 'DNMBP', 'ITK', 'SPTBN1', 'EGFR', 'CD22', 'IQGAP1', 'CAT', 'SORBS1', 'CBL', 'ASAP1', 'CAMK2B', 'YWHAQ', 'CDC42', 'NTRK1', 'ACTN1', 'AP2A1', 'KDR', 'ARHGEF7', 'RAC1', 'LYN', 'PLCG2', 'ITSN2', 'FLT4', 'CSNK2A1', 'VAV2', 'INPPL1', 'JAK2', 'SRC', 'XPO1', 'STK11', 'PAK2', 'SH3KBP1', 'SMAD3', 'LEPR', 'STAT5A', 'UBQLN1', 'STAT5B', 'CRK', 'PTGES3', 'HSPD1', 'RB1', 'WAS', 'STAT1', 'PTPN12', 'AP2M1', 'APP', 'PIK3R1', 'MYC', 'YWHAZ', 'ROCK1', 'PTK2B', 'EPHB3', 'GRB7', 'PDGFRB', 'SH2B3', 'EZR', 'IGF1R', 'CD33', 'ARHGEF6', 'INPP5D', 'ARHGAP4', 'SH2B2', 'ARHGEF4', 'ERCC3', 'SOS1', 'PDGFRA', 'NCK1', 'PTPN22', 'LRRK1', 'YWHAG', 'RAF1', 'PTPN6', 'PAK1', 'MARK2', 'GAB2', 'PXN', 'HSPA8', 'ABL1', 'PFN1', 'FYN', 'PRKCG', 'PLEC', 'ERBB4', 'TNK2', 'PRKCD', 'GAB3', '-', 'MAP2K5', 'MST1R', 'ADAM15', 'HIF1A', 'IL6ST', 'LCP2', 'TSG101', 'ROS1', 'MAPK8', 'DNM1', 'SH2B1', 'YWHAH', 'CSNK1E', 'ARHGEF11', 'PRKCZ', 'CSNK2A2', 'PLCG1', 'PAG1', 'LAT', 'ARAF', 'CTNNB1', 'BCR', 'SRGAP3', 'CSF1R', 'ARAP1', 'IL4R', 'IRS2', 'JAK1', 'SIK3', 'SLK', 'BTK', 'ACTN4', 'GRAP', 'CSK', 'NELFB', 'ERBIN', 'PTK2', 'NCL', 'SHB', 'HSPA4', 'KIT', 'STUB1', 'TFG', 'APBA3', 'CAV1', 'PIK3R2', 'VAV1', 'DOK2', 'HCK', 'KHDRBS1', 'PRKCE', 'PECAM1', 'SQSTM1', 'ITSN1', 'MATK', 'EPS15', 'INSR'}|375|1137|Bcr-Abl_oncoprotein_oligomerisation, C2_calcium-dependent_membrane_targeting, C2_calcium/lipid-binding_domain_CaLB, C2_membrane_targeting_protein, Dbl_homology_(DH)_domain, Guanine-nucleotide_dissociation_stimulator_CDC24_conserved_site, Pleckstrin_homology-type, Pleckstrin_homology_domain, Rho_GTPase-activating_protein_domain, Rho_GTPase_activation_protein|F-actin_binding, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Src_homology-3_domain, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain|Bcr-Abl oncoprotein oligomerisation domain, SH3 domain, SH2 domain, Protein tyrosine kinase, Facioscapulohumeral muscular dystrophy candidate 2, F-actin binding, Bcr-Abl oncoprotein oligomerisation domain, RhoGEF domain, PH domain, Bacterial SH3 domain.
BCR FGFR1|{'MST1R', 'CSK', 'JAK3', 'PDGFRB', 'MAP4K5', 'EPHB2', 'CSNK2A2', 'RAF1', 'ACTN4', 'PTK2B', 'FLNC', 'BMPR1B', 'GRB2', 'HSH2D', 'STAT3', 'NCK1', 'FARP2', 'IRS1', 'PLCG2', 'KDR', 'CAMK2B', 'CAMK2G', 'ERBB2', 'SH2B2', 'LTK', 'PTPN6', 'GAB2', 'CBL', 'HIF1A', 'CRK', 'CSNK2A1', 'ITGB4', 'EPHB3', 'ERBB3', 'GHR', 'SHB', 'GRB10', 'FRS2', 'BTK', 'SMAD3', 'IGF1R', 'AKT1', 'CEACAM1', 'NTRK1', 'ROS1', 'VAV3', 'PRKCZ', 'MET', 'VAV2', 'FES', 'STK11', 'MAP3K5', 'JAK2', 'ITK', 'PLCG1', 'ERBB4', 'INSR', 'IRS2', 'KIT', 'EPOR', 'ARHGAP5', 'HSP90AB1', 'LCK', 'LAT', 'LYN', 'TEK', 'SHC1', 'PTK2', 'PIK3R1', 'MATK', 'HCK', 'SRC', 'MAP4K1', 'HNF1A', 'FN1', 'LCP2', 'MARK2', 'ROCK1', 'SYK', 'ARAF', 'VAV1', '-', 'HSPG2', 'SH2B3', 'PIK3R2', 'NTRK2', 'EPS8', 'KHDRBS1', 'GRK2', 'SHOC2', 'TP53', 'WAS', 'CSF1R', 'ABL2', 'STAT1', 'CDK1', 'SH2B1', 'JAK1', 'HSP90AA1', 'GAB1', 'NECTIN1', 'FLT4', 'CTNNB1', 'FYN', 'TNKS2', 'TNK2', 'YES1', 'PTPN11', 'MAPKAPK2', 'GRB7', 'MAP2K5', 'SOS1', 'ZAP70', 'EPHB1', 'TGFBR1', 'TEC', 'STAT5B', 'ATP8A2', 'DLGAP4', 'ABL1', 'SOCS1', 'RET', 'PDPK1', 'TGFB1I1', 'GRK5', 'EGFR', 'CRKL', 'PDGFRA', 'RASA1', 'GRK6', 'NTRK3', 'CBLB', 'BLK'}|375|618|Bcr-Abl_oncoprotein_oligomerisation, C2_calcium-dependent_membrane_targeting, C2_calcium/lipid-binding_domain_CaLB, C2_membrane_targeting_protein, Dbl_homology_(DH)_domain, Guanine-nucleotide_dissociation_stimulator_CDC24_conserved_site, Pleckstrin_homology-type, Pleckstrin_homology_domain, Rho_GTPase-activating_protein_domain, Rho_GTPase_activation_protein|Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_fibroblast_growth_factor_receptor|Immunoglobulin domain, C2 domain, Immunoglobulin I-set domain, RhoGEF domain, PH domain, PH domain, RhoGAP domain, Bcr-Abl oncoprotein oligomerisation domain, Protein tyrosine kinase.
BCR JAK2|{'-', 'SH2B1', 'CTTN', 'TEK', 'KHDRBS1', 'INPPL1', 'DAXX', 'PIK3CG', 'IL4R', 'CD19', 'SPTBN1', 'CLK2', 'EZR', 'FLNC', 'MAP3K3', 'BTLA', 'CLTC', 'PLD2', 'SMAD3', 'LTK', 'PTPN22', 'RACK1', 'IL6ST', 'EGFR', 'MUC1', 'FYN', 'HSPA5', 'SYK', 'SHC1', 'FN1', 'IL3', 'TSC2', 'RIN1', 'ERBIN', 'ARAF', 'CSNK2A2', 'EPHB1', 'NCK1', 'JAK3', 'HSP90AA1', 'HSP90AB1', 'CAMK2B', 'SORBS1', 'ABR', 'PDPK1', 'SH3KBP1', 'PECAM1', 'PTK2B', 'CDC42', 'ITK', 'CD33', 'ADAM15', 'MET', 'CEACAM1', 'GRB7', 'LILRB4', 'IQGAP1', 'LCP2', 'CDK7', 'MAP2K5', 'PIK3C2B', 'TFG', 'FLT4', 'ERBB4', 'LCK', 'ARHGEF11', 'SH2B2', 'CSF1R', 'ROS1', 'VAV1', 'PAG1', 'INPP5D', 'CBL', 'BMPR1B', 'MPZL1', 'MAPK8', 'EPHB3', 'CSF2RB', 'BCR', 'ASAP1', 'IRS2', 'HCK', 'PRKCE', 'PTPN18', 'DOK2', 'NELFB', 'PTK2', 'PRLR', 'CDK1', 'YWHAB', 'PLCG1', 'TP53', 'FES', 'IGF1R', 'ERBB2', 'NTRK1', 'PIK3R2', 'BTK', 'HRAS', 'GRB10', 'TYK2', 'MAP4K1', 'GAB3', 'SOS2', 'CAMK2G', 'IRS1', 'CSNK2A1', 'RAC1', 'CRKL', 'CSK', 'NEDD9', 'RAPGEF1', 'SHB', 'CRK', 'IL5RA', 'WAS', 'ARHGEF16', 'MAP2K1', 'STAT5A', 'LYN', 'DLGAP4', 'PTPN1', 'PTPRA', 'ITSN1', 'YWHAG', 'PTPN2', 'BAD', 'MATK', 'ARHGEF12', 'TNK2', 'ABL2', 'VCP', 'KRT18', 'PLEC', 'MST1R', 'GRB2', 'KDR', 'JAK1', 'STAT1', 'SLK', 'SHOC2', 'MAP4K5', 'ZAP70', 'CD22', 'NTRK2', 'ARHGEF7', 'BLK', 'AP2M1', 'RAF1', 'PDGFRB', 'ACTN1', 'HSH2D', 'BCAR1', 'GRAP', 'INSR', 'GRK2', 'ABL1', 'SOS1', 'STAT5B', 'STAT3', 'ACTN4', 'NTRK3', 'SRC', 'MED28', 'EPS8', 'YWHAE', 'PDGFRA', 'RACGAP1', 'CBLB', 'PTPN12', 'PAK1', 'ETV6', 'MARK2', 'DOK1', 'LAIR1', 'CSF2RA', 'YES1', 'CAV1', 'SOCS1', 'RET', 'ERBB3', 'GRK5', 'PXN', 'LAT', 'SHC3', 'PAK2', 'YWHAQ', 'APP', 'EPS15', 'USP8', 'PRKCD', 'STK25', 'PILRA', 'YWHAH', 'TGFBR1', 'HIF1A', 'FRS2', 'VAV3', 'STUB1', 'JAK2', 'SFN', 'RASA1', 'HGS', 'TEC', 'EPHB2', 'UBASH3B', 'ITGB1', 'KIT', 'RB1', 'CAT', 'GAB1', 'AKT1', 'CTNNB1', 'PTPN6', 'PLCG2', 'EPOR', 'PTPN11', 'VAV2', 'APBA3', 'PIK3R1', 'LRRK1', 'YWHAZ', 'LEPR', 'GAB2', 'MAP3K5', 'GRK6', 'TRIO', 'PRKCZ', 'HSPA8', 'BLNK', 'GHR', 'ROCK1', 'SH2B3', 'MYC'}|375|788|Bcr-Abl_oncoprotein_oligomerisation, C2_calcium-dependent_membrane_targeting, C2_calcium/lipid-binding_domain_CaLB, C2_membrane_targeting_protein, Dbl_homology_(DH)_domain, Guanine-nucleotide_dissociation_stimulator_CDC24_conserved_site, Pleckstrin_homology-type, Pleckstrin_homology_domain, Rho_GTPase-activating_protein_domain, Rho_GTPase_activation_protein|Band_4.1_domain, FERM_central_domain, FERM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_non-receptor_Jak/Tyk2, Tyrosine-protein_kinase_non-receptor_Jak2|Protein tyrosine kinase, Bcr-Abl oncoprotein oligomerisation domain.
BCR PDGFRA|{'ABL1', 'EPOR', 'LCK', 'CRK', 'PDGFRA', 'ITGB1', 'ZAP70', 'MAP4K1', 'GAB2', 'IL6ST', 'BMPR1B', 'NTRK2', 'FES', 'NTRK3', 'NCK1', 'TNKS2', 'SOS2', 'PTK2B', 'AKT1', 'CAV1', 'HIF1A', 'STK11', 'MET', 'EPHB1', 'ABL2', 'PTPN12', 'LYN', 'SYK', 'CAMK2B', 'TGFB1I1', 'CSK', 'RET', 'EPHB3', 'PAG1', 'TNK2', 'SHC1', 'PTK2', 'BTLA', 'KIT', 'SRC', 'PDGFRB', 'CDK1', 'HSH2D', 'ERBB4', 'CEACAM1', 'DOK1', 'PIK3R2', 'SOCS1', 'PXN', 'BCAR1', 'SH2B1', 'DNM2', 'ITK', 'YES1', 'MAP3K3', 'PTPN2', 'PTPN18', 'MAP4K5', 'GRB10', 'LCP2', 'BCR', 'FYN', 'PDZK1', 'TGFBR1', 'ROS1', 'STAT5B', 'CRKL', 'JAK1', 'MATK', 'PRKCG', 'FLT4', 'NTRK1', 'STAT5A', 'EGFR', 'PTPN11', 'KHDRBS1', 'TEK', 'SH2B2', 'TYK2', 'YWHAE', 'FRS2', 'PTPN1', 'SHB', 'JAK3', 'ERBB3', 'FN1', 'SLC9A3R1', 'NEDD9', 'RASA1', 'PRKCE', 'IGF1R', 'EPHB2', 'ROCK1', 'PLCG1', 'ARAF', 'STAT3', 'JAK2', 'RAF1', 'ERBB2', 'RAPGEF1', 'PIK3R1', 'PRKCZ', 'STAT1', 'TP53', 'INSR', 'BTK', 'GRAP', 'PAK1', 'TEC', 'BLK', 'CSF1R', 'ARHGAP32', 'CBL', 'MDFI', 'CBLB', 'IRS1', 'GRB2', 'GRB7', 'VAV3', 'MST1R', 'KDR', 'MARK2', 'LTK', 'HCK', 'SHC3', 'MAP2K5', 'PAK2', 'GAB1'}|375|438|Bcr-Abl_oncoprotein_oligomerisation, C2_calcium-dependent_membrane_targeting, C2_calcium/lipid-binding_domain_CaLB, C2_membrane_targeting_protein, Dbl_homology_(DH)_domain, Guanine-nucleotide_dissociation_stimulator_CDC24_conserved_site, Pleckstrin_homology-type, Pleckstrin_homology_domain, Rho_GTPase-activating_protein_domain, Rho_GTPase_activation_protein|Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_CSF-1/PDGF_receptor, Tyrosine-protein_kinase_receptor_class_III_conserved_site, Tyrosine-protein_kinase_vascular_endothelial_growth_factor_receptor_(VEGFR)_N-terminal|C2 domain, Bcr-Abl oncoprotein oligomerisation domain, RhoGEF domain, PH domain, PH domain.
BIRC3 MALT1|{'RIPK2', 'CASP8', 'NAIP', 'RNF31', 'RPS27A', 'UBE2D3', 'NFKB1', 'TAB2', '-', 'BARD1', 'CYLD', 'RIPK1', 'EEF1A2', 'SDCBP', 'CXCL10', 'RBCK1', 'CDH2', 'CASP2', 'CARD10', 'TLR3', 'SOCS3', 'PRKAB1', 'RAB27A', 'TRAF1', 'ICAM1', 'CARD8', 'CALM1', 'TNFRSF11A', 'DIABLO', 'RELA', 'CCL2', 'NFKBIA', 'PELI1', 'BCL10', 'RPS3', 'TUBB', 'SHARPIN', 'PSMA4', 'CASP10', 'IKBKB', 'CASP3', 'BIRC2', 'THBD', 'TRIM21', 'BIRC3', 'RNF25', 'HSPA1L', 'IRAK1', 'CASP1', 'CASP4', 'TNF', 'SQSTM1', 'RNF11', 'NOD1', 'TRIM38', 'IKBKG', 'BAG3', 'USP9X', 'BCL3', 'NGFR', 'CARD14', 'CASP5', 'IGFBP7', 'NFKBIE', 'UBE2D2', 'TRAF4', 'XIAP', 'TUBB4A', 'CFLAR', 'TNFRSF1A', 'CD40', 'CD40LG', 'ACTG1', 'RELB', 'MAP3K14', 'HSPA9', 'MAVS', 'NOL3', 'CRADD', 'CARD16', 'EDA2R', 'FADD', 'TLR4', 'TNFAIP3', 'CHUK', 'TRIM37', 'PYCARD', 'RCN2', 'NLRP3', 'CARD6', 'TAB3', 'MAPK9', 'CASP14', 'HSPA5', 'TAX1BP1', 'IRAK2', 'BCL2', 'NOD2', 'FAS', 'HSPA8', 'TANK', 'STUB1', 'UBE2V2', 'TNFRSF4', 'NLRC4', 'APAF1', 'TRIM22', 'TRADD', 'ELF1', 'UBC', 'CASP6', 'EREG', 'PARP1', 'CARD9', 'CASP9', 'TUBA3C', 'PRKCZ', 'TBK1', 'TRAF2', 'TRAF5', 'UBE2N', 'GPR183', 'MYD88', 'TRAF3IP2', 'NRAS', 'STRADB', 'TNFRSF14', 'EGFR', 'USP7', 'TRAF6', 'CARD18', 'UBA52', 'MALT1', 'CASP7', 'PTPRC', 'MAP3K7'}|336|445|Baculoviral_inhibition_of_apoptosis_protein_repeat, Caspase_Recruitment, DEATH-like, Zinc_finger_RING-type, Zinc_finger_RING/FYVE/PHD-type|DEATH-like, Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Peptidase_C14_caspase_catalytic, Peptidase_C14_ICE_catalytic_subunit_p20|Inhibitor of Apoptosis domain, Immunoglobulin domain, Immunoglobulin V-set domain, Immunoglobulin domain, Caspase domain.
