Query ID	Protein Domains
ACSL3	AMP-binding_conserved_site, AMP-dependent_synthetase/ligase
ACTB	Actin-like, Actin/actin-like_conserved_site, Actin_conserved_site
AFF3	Transcription_factor_AF4/FMR2
AGTRAP	Angiotensin_II_type_I_receptor-associated
AHRR	Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, PAS, PAS_fold
AKAP9	Pericentrin/AKAP-450_centrosomal_targeting_domain
ALK	Concanavalin_A-like_lectin/glucanase, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, MAM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site
ANKRD28	Ankyrin_repeat, Ankyrin_repeat-containing_domain
ARHGAP6	Rho_GTPase-activating_protein_domain, Rho_GTPase_activation_protein
ASPSCR1	GLUT4_regulating_protein_TUG, UBX
ATIC	AICARFT/IMPCHase_bienzyme, AICARFT/IMPCHase_bienzyme_transformylase_domain, Cytidine_deaminase-like, Methylglyoxal_synthase-like_domain
BACH2	Basic-leucine_zipper_(bZIP)_transcription_factor, BTB/POZ, BTB/POZ-like, BTB/POZ_fold, bZIP_transcription_factor_bZIP-1, Eukaryotic_transcription_factor_Skn-1-like_DNA-binding
BCL11B	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
BCL2	Apoptosis_regulator_Bcl-2, Apoptosis_regulator_Bcl-2_BH, Apoptosis_regulator_Bcl-2_BH1_motif_conserved_site, Apoptosis_regulator_Bcl-2_BH2_motif_conserved_site, Apoptosis_regulator_Bcl-2_BH3_motif_conserved_site, Apoptosis_regulator_Bcl-2_BH4_motif_conserved_site, Apoptosis_regulator_Bcl-2_protein_BH4, Apoptosis_regulator_Bcl-X_protein, Apoptosis_regulator_Bcl2-like
BCL9	B_Cell_Lymphoma_9
BCOR	Ankyrin_repeat, Ankyrin_repeat-containing_domain
